question,variant,persona.region,persona.sex,persona.age,persona.marital_status,persona.education,persona.social_class,model-country,survey-country,prompting-language,model-answer,survey-answer,mae-score,accuracy,,rand-accuracy,person-random
2,0,mississippi,female,30,married,middle,lower middle class,us,us,en,1,2,0.666666667,FALSE,0,0.2,0.666666667
2,0,indiana,female,28,married,higher,lower middle class,us,us,en,1,2,0.666666667,FALSE,0,0.2,0.666666667
2,0,michigan,female,54,married,middle,working class,us,us,en,1,2,0.666666667,FALSE,0,0.2,0.666666667
2,0,michigan,male,53,married,higher,upper middle class,us,us,en,1,2,0.666666667,FALSE,0,0.2,0.666666667
2,0,illinois,male,45,married,middle,lower middle class,us,us,en,1,1,1,TRUE,1,0.2,0.5
2,0,michigan,female,34,divorced,higher,lower class,us,us,en,1,3,0.333333333,FALSE,0,0.2,0.666666667
2,0,missouri,male,48,married,middle,lower middle class,us,us,en,1,2,0.666666667,FALSE,0,0.2,0.666666667
2,0,florida,male,41,married,higher,upper middle class,us,us,en,1,2,0.666666667,FALSE,0,0.2,0.666666667
2,0,massachusetts,female,59,married,middle,upper middle class,us,us,en,1,1,1,TRUE,1,0.2,0.5
2,0,oklahoma,female,25,married,middle,lower class,us,us,en,1,1,1,TRUE,1,0.2,0.5
2,0,michigan,male,35,married,higher,upper middle class,us,us,en,1,2,0.666666667,FALSE,0,0.2,0.666666667
2,0,louisiana,male,25,married,middle,upper middle class,us,us,en,1,1,1,TRUE,1,0.2,0.5
2,0,massachusetts,female,42,married,higher,upper middle class,us,us,en,1,3,0.333333333,FALSE,0,0.2,0.666666667
2,0,texas,female,24,single,higher,lower class,us,us,en,1,3,0.333333333,FALSE,0,0.2,0.666666667
2,0,minnesota,female,22,single,middle,lower class,us,us,en,1,2,0.666666667,FALSE,0,0.2,0.666666667
2,0,pennsylvania,female,35,married,middle,working class,us,us,en,1,2,0.666666667,FALSE,0,0.2,0.666666667
2,0,new york,female,48,divorced,lower,working class,us,us,en,1,3,0.333333333,FALSE,0,0.2,0.666666667
2,0,pennsylvania,female,43,married,higher,upper middle class,us,us,en,1,1,1,TRUE,1,0.2,0.5
