question,config,model-country,survey-country,prompting-language,model,mae-score,accuracy
2,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.772068511198945,0.43873517786561206
19,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.009009009009009,0.009009009009009
21,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.104477611940298,0.104477611940298
42,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.8571428571428571,0.7142857142857141
62,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.858974358974358,0.6153846153846151
63,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.869309838472834,0.6519823788546251
77,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.76084262701363,0.390334572490706
78,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.7592592592592591,0.388888888888888
83,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.7659313725490191,0.41544117647058804
84,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.76972010178117,0.381679389312977
87,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.7592592592592591,0.369047619047619
88,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.7760814249363861,0.442748091603053
124,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.39766081871345005,0.140350877192982
126,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,,
127,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.6627218934911241,0.44378698224852003
142,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.627594627594627,0.164835164835164
143,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.571969696969697,0.0
149,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.6153846153846151,0.6153846153846151
150,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.676991150442477,0.676991150442477
171,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.08252427184466,0.08252427184466
175,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.27272727272727204,0.27272727272727204
199,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.791489361702127,0.472340425531914
209,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.192546583850931,0.192546583850931
210,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.21428571428571402,0.21428571428571402
221,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.392561983471074,0.392561983471074
224,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.783403656821378,0.43037974683544306
229,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.772108843537415,0.41836734693877503
235,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.587301587301587,0.14285714285714202
236,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.684959349593496,0.33536585365853605
239,"['us', 'en', 'AceGPT-13B-chat']",us,us,en,AceGPT-13B-chat,0.6954732510288061,0.28395061728395005
